Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"CommandBot.java",13,0,3,10,1,,,,,1,0,0,2,,3,3,0,,,,3,,3,0,0,0,,47,4,12,7,2,31,,6,9,7,2,,1,,0,,,2,58,2
File,"CommandMessage.java",7,0,3,4,1,,,,,1,0,0,7,,7,7,1,,,,7,,0,0,0,7,,74,10,29,11,10,36,,11,20,11,9,,2,,1,,,1,24,8
File,"CommandRegistry.java",10,0,7,2,2,,,,,1,0,0,10,,10,10,4,,,,10,,0,1,0,9,,135,16,91,41,40,28,,45,67,36,40,,5,,3,,,0,31,19
File,"CommandRegistryTest.java",7,0,7,0,1,,,,,1,0,0,5,,5,2,0,,,,2,,2,0,0,0,,42,4,38,21,24,0,,28,31,18,22,,1,,0,,,0,00,5
File,"Constants.java",0,0,0,0,0,,,,,1,0,2,0,,0,0,0,,,,0,,0,0,0,0,,11,1,5,4,2,5,,3,4,4,0,,0,,0,,,1,00,0
File,"Contact.java",0,0,0,0,0,,,,,1,0,5,0,,0,0,5,,,,0,,0,0,0,0,,66,4,32,31,5,30,,19,20,20,0,,0,,0,,,0,94,0
File,"ContinuousTextTest.java",6,0,5,0,1,,,,,2,0,1,11,,11,9,3,,,,9,,4,0,1,4,,103,20,83,42,33,0,,41,52,36,19,,1,,0,,,0,00,11
File,"CopyMessage.java",6,0,5,0,2,,,,,2,0,13,12,,12,12,12,,,,12,,0,0,0,12,,177,19,138,90,41,30,,63,83,58,25,,4,,1,,,0,22,18
File,"CreateChatInviteLink.java",6,0,6,0,2,,,,,2,0,6,5,,5,5,5,,,,5,,0,0,0,5,,108,10,77,53,19,25,,36,47,34,13,,5,,1,,,0,32,9
File,"CreateForumTopic.java",5,0,5,0,1,,,,,2,0,5,5,,5,5,4,,,,5,,0,0,0,5,,103,10,69,51,14,24,,32,41,32,9,,3,,1,,,0,35,7
File,"CreateInvoiceLink.java",12,0,12,0,4,,,,,1,0,21,3,,3,3,20,,,,3,,0,0,0,3,,168,8,133,102,40,43,,69,82,64,18,,9,,2,,,0,32,11
File,"CreateInvoiceLinkTest.java",9,0,9,0,1,,,,,1,0,0,13,,13,13,0,,,,13,,0,1,0,12,,147,18,125,63,72,6,,65,80,50,53,,2,,1,,,0,05,14
File,"CreateNewStickerSet.java",13,1,11,1,3,,,,,2,0,14,8,,8,8,12,,,,8,,0,0,0,8,,259,23,165,92,61,73,,70,98,57,41,,16,,3,,,0,44,25
File,"CustomToggle.java",6,0,5,1,1,,,,,2,0,1,10,,8,10,22,,,,10,,1,0,0,9,,129,26,81,43,26,22,,25,42,22,22,,6,,4,,,0,27,14
File,"CustomToggleTest.java",10,1,9,0,1,,,,,1,0,0,6,,6,6,4,,,,6,,2,0,0,4,,89,16,73,36,32,0,,47,56,30,28,,2,,1,,,0,00,8
File,"DBContext.java",0,0,0,0,0,,,,,1,0,0,0,,11,11,0,,,,11,,11,0,0,0,,92,13,20,19,0,59,,18,19,19,0,,0,,0,,,2,95,0
